 WIRECATFISH packet capture

| N°   | IP Protocol | Address A                                | Address B                                | Transport Protocol | Port A          | Port B      | Connection Start    | Connection End      | Data Trasmitted (Bytes)  |
| 1    | IPv4        | 192.168.1.95                             | 3.68.61.181                              | TCP                | 60138           | 443         | 2022/08/20 11:59:44 | 2022/08/20 11:59:46 | 394                      |
| 2    | IPv4        | 52.166.201.214                           | 192.168.1.95                             | TCP                | 443             | 57790       | 2022/08/20 11:59:44 | 2022/08/20 11:59:53 | 16190                    |
| 3    | IPv4        | 52.166.202.175                           | 192.168.1.95                             | TCP                | 443             | 59243       | 2022/08/20 11:59:44 | 2022/08/20 11:59:53 | 16616                    |
| 4    | IPv4        | 66.22.238.145                            | 192.168.1.95                             | UDP                | 50011           | 59715       | 2022/08/20 11:59:44 | 2022/08/20 11:59:53 | 69579                    |
| 5    | IPv4        | 192.168.1.95                             | 3.68.63.139                              | TCP                | 59344           | 443         | 2022/08/20 11:59:44 | 2022/08/20 11:59:46 | 1701                     |
| 6    | IPv4        | 20.54.37.73                              | 192.168.1.95                             | TCP                | 443             | 60120       | 2022/08/20 11:59:45 | 2022/08/20 11:59:45 | 381                      |
| 7    | IPv4        | 255.255.255.255                          | 192.168.1.135                            | UDP                | 6667            | 49153       | 2022/08/20 11:59:45 | 2022/08/20 11:59:49 | 428                      |
| 8    | IPv4        | 192.168.1.255                            | 192.168.1.95                             | UDP                | 59867           | 53193       | 2022/08/20 11:59:45 | 2022/08/20 11:59:45 | 162                      |
| 9    | IPv4        | 192.168.1.255                            | 192.168.1.95                             | UDP                | 59867           | 53194       | 2022/08/20 11:59:45 | 2022/08/20 11:59:45 | 226                      |
| 10   | IPv4        | 192.168.1.95                             | 149.154.167.91                           | TCP                | 59676           | 443         | 2022/08/20 11:59:45 | 2022/08/20 11:59:52 | 1012                     |
| 11   | IPv4        | 3.68.61.181                              | 192.168.1.95                             | TCP                | 443             | 60140       | 2022/08/20 11:59:45 | 2022/08/20 11:59:46 | 502                      |
| 12   | IPv4        | 162.159.130.235                          | 192.168.1.95                             | TCP                | 443             | 59192       | 2022/08/20 11:59:45 | 2022/08/20 11:59:52 | 940                      |
| 13   | IPv6        | 2606:2800:0133:206e:1315:22a5:2006:24fd  | 2001:0b07:6449:32f0:8cb0:76fc:fb63:3f19  | TCP                | 443             | 64887       | 2022/08/20 11:59:46 | 2022/08/20 11:59:47 | 983                      |
| 14   | IPv4        | 3.68.61.181                              | 192.168.1.95                             | TCP                | 443             | 60134       | 2022/08/20 11:59:46 | 2022/08/20 11:59:46 | 170                      |
| 15   | IPv4        | 3.68.61.181                              | 192.168.1.95                             | TCP                | 443             | 60137       | 2022/08/20 11:59:46 | 2022/08/20 11:59:46 | 170                      |
| 16   | IPv4        | 192.168.1.95                             | 162.159.133.234                          | TCP                | 61729           | 443         | 2022/08/20 11:59:47 | 2022/08/20 11:59:49 | 315                      |
| 17   | IPv4        | 192.168.1.255                            | 192.168.1.95                             | UDP                | 59867           | 53195       | 2022/08/20 11:59:47 | 2022/08/20 11:59:47 | 162                      |
| 18   | IPv4        | 192.168.1.255                            | 192.168.1.95                             | UDP                | 59867           | 53196       | 2022/08/20 11:59:47 | 2022/08/20 11:59:47 | 226                      |
| 19   | IPv4        | 20.189.173.2                             | 192.168.1.95                             | TCP                | 443             | 64885       | 2022/08/20 11:59:48 | 2022/08/20 11:59:48 | 4982                     |
| 20   | IPv4        | 20.86.94.130                             | 192.168.1.95                             | TCP                | 443             | 57761       | 2022/08/20 11:59:51 | 2022/08/20 11:59:51 | 152                      |
