 WIRECATFISH packet capture

| N°   | IP Protocol | Destination IP                           | Source IP                                | Transport Protocol | Destination Port | Source Port | Connection Start    | Connection End      | Data Trasmitted (Bytes)  |
| 1    | IPv4        | 66.22.238.5                              | 192.168.1.20                             | UDP                | 50027            | 65401       | 2022/08/16 12:48:19 | 2022/08/16 12:48:24 | 2844048                  |
| 2    | IPv4        | 192.168.1.20                             | 52.166.206.135                           | TCP                | 58746            | 443         | 2022/08/16 12:48:19 | 2022/08/16 12:48:22 | 30362                    |
| 3    | IPv4        | 52.166.207.5                             | 192.168.1.20                             | TCP                | 443              | 64081       | 2022/08/16 12:48:19 | 2022/08/16 12:48:22 | 13740                    |
| 4    | IPv4        | 52.166.201.214                           | 192.168.1.20                             | TCP                | 443              | 58768       | 2022/08/16 12:48:19 | 2022/08/16 12:48:22 | 12850                    |
| 5    | IPv4        | 52.166.201.196                           | 192.168.1.20                             | TCP                | 443              | 64079       | 2022/08/16 12:48:19 | 2022/08/16 12:48:23 | 15458                    |
| 6    | IPv4        | 52.166.205.133                           | 192.168.1.20                             | TCP                | 443              | 58860       | 2022/08/16 12:48:19 | 2022/08/16 12:48:22 | 12756                    |
| 7    | IPv4        | 66.22.238.7                              | 192.168.1.20                             | UDP                | 50006            | 65400       | 2022/08/16 12:48:19 | 2022/08/16 12:48:24 | 47908                    |
| 8    | IPv4        | 162.159.128.235                          | 192.168.1.20                             | TCP                | 443              | 58804       | 2022/08/16 12:48:19 | 2022/08/16 12:48:22 | 1000                     |
| 9    | IPv4        | 255.255.255.255                          | 0.0.0.0                                  | UDP                | 67               | 68          | 2022/08/16 12:48:20 | 2022/08/16 12:48:20 | 1770                     |
| 10   | IPv4        | 255.255.255.255                          | 192.168.1.1                              | UDP                | 68               | 67          | 2022/08/16 12:48:20 | 2022/08/16 12:48:20 | 1440                     |
| 11   | IPv4        | 192.168.1.20                             | 20.86.94.130                             | TCP                | 64083            | 443         | 2022/08/16 12:48:22 | 2022/08/16 12:48:22 | 142                      |
| 12   | IPv4        | 192.168.1.191                            | 192.168.1.20                             | TCP                | 8009             | 61103       | 2022/08/16 12:48:22 | 2022/08/16 12:48:22 | 382                      |
| 13   | IPv4        | 192.168.1.20                             | 51.137.3.17                              | TCP                | 58861            | 443         | 2022/08/16 12:48:24 | 2022/08/16 12:48:24 | 199                      |
