 WIRECATFISH packet capture

| N°    | IP Protocol | Address A                                | Address B                                | Transport Protocol | Port A    | Port B    | Connection Start    | Connection End      | Application Protocol  | Bytes A->B    | Bytes B->A    |
| 1     | IPv4        | 51.144.18.231                            | 192.168.1.89                             | TCP                | 443       | 51838     | 2022/09/12 16:24:53 | 2022/09/12 16:25:22 | HTTPS                 | 132570        | 47768         |
| 2     | IPv4        | 51.144.23.11                             | 192.168.1.89                             | TCP                | 443       | 57176     | 2022/09/12 16:24:53 | 2022/09/12 16:25:22 | HTTPS                 | 46435         | 11981         |
| 3     | IPv4        | 192.168.1.89                             | 3.68.63.139                              | TCP                | 51831     | 443       | 2022/09/12 16:24:54 | 2022/09/12 16:25:20 | HTTPS                 | 1708          | 650           |
| 4     | IPv4        | 162.159.128.235                          | 192.168.1.89                             | TCP                | 443       | 51828     | 2022/09/12 16:24:54 | 2022/09/12 16:25:22 | HTTPS                 | 2438          | 1242          |
| 5     | IPv4        | 192.168.1.89                             | 204.79.197.239                           | TCP                | 57202     | 443       | 2022/09/12 16:24:54 | 2022/09/12 16:24:54 | HTTPS                 | 60            | 0             |
| 6     | IPv4        | 157.240.203.15                           | 192.168.1.89                             | TCP                | 443       | 56794     | 2022/09/12 16:24:56 | 2022/09/12 16:25:19 | HTTPS                 | 907           | 481           |
| 7     | IPv4        | 157.240.203.14                           | 192.168.1.89                             | TCP                | 443       | 56795     | 2022/09/12 16:24:56 | 2022/09/12 16:25:18 | HTTPS                 | 420           | 246           |
| 8     | IPv4        | 192.168.1.89                             | 162.159.135.234                          | TCP                | 56792     | 443       | 2022/09/12 16:24:57 | 2022/09/12 16:25:23 | HTTPS                 | 625           | 321           |
| 9     | IPv4        | 20.86.94.130                             | 192.168.1.89                             | TCP                | 443       | 54140     | 2022/09/12 16:24:58 | 2022/09/12 16:25:19 | HTTPS                 | 435           | 441           |
| 10    | IPv4        | 192.168.1.89                             | 204.79.197.239                           | TCP                | 57199     | 443       | 2022/09/12 16:24:58 | 2022/09/12 16:24:58 | HTTPS                 | 60            | 0             |
| 11    | IPv4        | 20.150.95.132                            | 192.168.1.89                             | TCP                | 443       | 57214     | 2022/09/12 16:24:58 | 2022/09/12 16:24:58 | HTTPS                 | 108           | 60            |
| 12    | IPv4        | 142.250.184.78                           | 192.168.1.89                             | TCP                | 443       | 57249     | 2022/09/12 16:24:58 | 2022/09/12 16:24:58 | HTTPS                 | 55            | 66            |
| 13    | IPv4        | 192.168.1.89                             | 204.79.197.200                           | TCP                | 57203     | 443       | 2022/09/12 16:24:58 | 2022/09/12 16:24:58 | HTTPS                 | 60            | 0             |
| 14    | IPv4        | 192.168.1.89                             | 18.197.249.189                           | TCP                | 60303     | 443       | 2022/09/12 16:24:59 | 2022/09/12 16:24:59 | HTTPS                 | 1164          | 0             |
| 15    | IPv4        | 3.68.63.139                              | 192.168.1.89                             | TCP                | 443       | 56793     | 2022/09/12 16:25:00 | 2022/09/12 16:25:20 | HTTPS                 | 596           | 570           |
| 16    | IPv4        | 3.68.63.139                              | 192.168.1.89                             | TCP                | 443       | 51833     | 2022/09/12 16:25:00 | 2022/09/12 16:25:20 | HTTPS                 | 596           | 570           |
| 17    | IPv4        | 3.68.63.139                              | 192.168.1.89                             | TCP                | 443       | 51835     | 2022/09/12 16:25:01 | 2022/09/12 16:25:21 | HTTPS                 | 650           | 1539          |
| 18    | IPv4        | 3.68.63.139                              | 192.168.1.89                             | TCP                | 443       | 51836     | 2022/09/12 16:25:01 | 2022/09/12 16:25:21 | HTTPS                 | 596           | 510           |
| 19    | IPv4        | 13.104.208.162                           | 192.168.1.89                             | TCP                | 443       | 57217     | 2022/09/12 16:25:02 | 2022/09/12 16:25:02 | HTTPS                 | 108           | 60            |
